"Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8",,,,,,,,,,,,
"Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8",0.02,"58,971",276,0.47,"102,888 2,169","102,888 2,169",2.11,,,,,
"Other short-term borrowings 12,020 （48)","Other short-term borrowings 12,020 （48)","Other short-term borrowings 12,020 （48)","Other short-term borrowings 12,020 （48)","Other short-term borrowings 12,020 （48)",(0.41),"11,235 (25)","11,235 (25)",(0.22),"12,449 148","12,449 148",1.20,,,,,
"Total short-termborrowings 47,265 （40","Total short-termborrowings 47,265 （40","Total short-termborrowings 47,265 （40","Total short-termborrowings 47,265 （40","Total short-termborrowings 47,265 （40",(0.09),"70,206 251","70,206 251",0.36,"115,337 2.317","115,337 2.317",2.01,,,,,
"Long-term debt 178,742 3,173","Long-term debt 178,742 3,173","Long-term debt 178,742 3,173","Long-term debt 178,742 3,173","Long-term debt 178,742 3,173",1.78,"224,587 4,471","224,587 4,471",1.99,"232,491 7,350","232,491 7,350",3.16,,,,,
Other liabilities,Other liabilities,"28,809 395","28,809 395","28,809 395",1.37,"28,435 438","28,435 438",1.54,"25,771 551","25,771 551",2.13,,,,,
"Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916","Total interest-bearing liabities $1,192,984 3,916","Total interest-bearing liabities $1,192,984 3,916","Total interest-bearing liabities $1,192,984 3,916","Total interest-bearing liabities $1,192,984 3,916",0.33%,"$1,286,570 7,964",,,,,
"Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一",,"412,669","412,669",,"344,11","344,11",,,,,,
"Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一","Total interest-bearing liabities $1,192,984 3,916Noninterest-bearing demand deposits 499,644 1Other noninterest-bearingliabilities 58,058 一",,"57,781","57,781",,"54,756","54,756",,,,,,
"Totalnoninterest-bearing liabilities $557,702 1","Totalnoninterest-bearing liabilities $557,702 1","Totalnoninterest-bearing liabilities $557,702 1","Totalnoninterest-bearing liabilities $557,702 1","Totalnoninterest-bearing liabilities $557,702 1",,"470,450","470,450",,"398,867","398,867",,,,,,
"Total liabilities $1,750,686 3,916Totalequity 191,219 1","Total liabilities $1,750,686 3,916Totalequity 191,219 1","Total liabilities $1,750,686 3,916Totalequity 191,219 1","Total liabilities $1,750,686 3,916Totalequity 191,219 1","Total liabilities $1,750,686 3,916Totalequity 191,219 1",,"1,757,020 7,964","1,757,020 7,964",,"1,714,616 18,853","1,714,616 18,853",,,,,,
"Total liabilities $1,750,686 3,916Totalequity 191,219 1","Total liabilities $1,750,686 3,916Totalequity 191,219 1","Total liabilities $1,750,686 3,916Totalequity 191,219 1","Total liabilities $1,750,686 3,916Totalequity 191,219 1","Total liabilities $1,750,686 3,916Totalequity 191,219 1",,"184,689","184,689",,"197,174","197,174",2.38%2.73%,,,,,
"Total liabilitiesand equity $1,941,905 3,916","Total liabilitiesand equity $1,941,905 3,916","Total liabilitiesand equity $1,941,905 3,916","Total liabilitiesand equity $1,941,905 3,916","Total liabilitiesand equity $1,941,905 3,916",,"1,941,709 7,964","1,941,709 7,964",,"1,911,790 18,853","1,911,790 18,853",2.38%2.73%,,,,,
"Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206","Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206","Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206","Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206","Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206",1.95 %,,,2.11 %,,,2.38%2.73%,,,,,
"Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206","Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206","Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206","Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206","Interest rate spread ona taxable-equivalent basis (3)Netinterest margin andnet interest income ona taxable-equivalentbasis (3) $36,206",2.05%,"$40,450 2.28%","$40,450 2.28%","$40,450 2.28%","$47,927","$47,927",2.38%2.73%,,,,,
