Appropriation / Program(dollars inmillions),Appropriation / Program(dollars inmillions),Prior Year,,,,,2020,2020,2021 Request,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",Payment to theAmerican Institutein Taiwan,一,32.0,32.0,,32.0,,32.0,26.3,,,,
,International Organizations,"1,012.8","1,915.3","1,915.3","1,084.9","3,000.2",,"3,000.2","2,045.4",,,,,
,Contributions to International OrganizationsContributions for InternationalPeacekeepingActivities,6.1,"1,377.6","1,377.6",96.2,"1,473.8",,"1,473.8 966.2","1,473.8 966.2",,,,,
,Contributions to International OrganizationsContributions for InternationalPeacekeepingActivities,"1,006.7",537.7,537.7,988.7,"1,526.4",,"1,526.4 1,079.2","1,526.4 1,079.2",,,,,
,International Commissions,104.0,162.8,162.8,,162.8,,162.8,144.2,,,,,
International Boundary and Water Commission-S&EIBWC - ConstructionAmerican SectionsInternational Fisheries Commissions,International Boundary and Water Commission-S&EIBWC - ConstructionAmerican SectionsInternational Fisheries Commissions,International Boundary and Water Commission-S&EIBWC - Construction,International Boundary and Water Commission-S&EIBWC - Construction,International Boundary and Water Commission-S&EIBWC - Construction,International Boundary and Water Commission-S&EIBWC - Construction,International Boundary and Water Commission-S&EIBWC - Construction,1,48.2,,,,,,
International Boundary and Water Commission-S&EIBWC - ConstructionAmerican SectionsInternational Fisheries Commissions,International Boundary and Water Commission-S&EIBWC - ConstructionAmerican SectionsInternational Fisheries Commissions,International Boundary and Water Commission-S&EIBWC - Construction,International Boundary and Water Commission-S&EIBWC - Construction,International Boundary and Water Commission-S&EIBWC - Construction,International Boundary and Water Commission-S&EIBWC - Construction,International Boundary and Water Commission-S&EIBWC - Construction,103.5,36.9,36.9,,36.9,,36.9,49.0
International Boundary and Water Commission-S&EIBWC - ConstructionAmerican SectionsInternational Fisheries Commissions,International Boundary and Water Commission-S&EIBWC - ConstructionAmerican SectionsInternational Fisheries Commissions,0.5,15.0,15.0,,15.0,,15.0,10.7,,,,,
International Boundary and Water Commission-S&EIBWC - ConstructionAmerican SectionsInternational Fisheries Commissions,International Boundary and Water Commission-S&EIBWC - ConstructionAmerican SectionsInternational Fisheries Commissions,,62.7,62.7,,62.7,,62.7,34.7,,,,,
,Related Programs,,335.7,335.7,,335.7,,335.7,67.3,,,,,
The Asia FoundationNational EndowmentforDemocracyEast-West Center,The Asia FoundationNational EndowmentforDemocracyEast-West Center,,19.0,19.0,,19.0,,19.0,1,,,,,
The Asia FoundationNational EndowmentforDemocracyEast-West Center,The Asia FoundationNational EndowmentforDemocracyEast-West Center,,300.0,300.0,,300.0,,300.0,67.3,,,,,
The Asia FoundationNational EndowmentforDemocracyEast-West Center,The Asia FoundationNational EndowmentforDemocracyEast-West Center,,16.7,16.7,,16.7,,16.7,二,,,,,
,Special and Trust Funds,12.5,1.3,1.3,1.3,1.3,,1.3 1.3,1.3 1.3,,,,,
Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),12.2,0.2,0.2,0.2,0.2,,0.2 0.3,0.2 0.3,,,,,
Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),1,0.3,0.3,0.3,0.3,,0.3 0.2,0.3 0.2,,,,,
Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),0.3,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,
Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),,0.7,0.7,0.7,0.7,,0.7 0.7,0.7 0.7,,,,,
Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),Center for Middle Eastern-Western DialogueEisenhower Exchange Fellowship ProgramIsraeli Arab Scholarship ProgramInternational Chancery CenterForeign Service Retirement and Disability Fund (non-add),,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,,158.9 158.9,158.9 158.9,,,,,
