Name of theCommittee,Extract of terms of reference,Extract of terms of reference,Category and composition,Category and composition,Other details,
"Risk ManagementCommittee(""RMC"")","Committee is constituted in line with theprovisions of Regulation 21 of SEBl ListingRegulations.Formulate,monitor and review riskmanagement policy and plan,inter aliacovering investment of surplus funds,management of foreign exchange risks,cyber security risks,data privacy risks andintellectual property infringements risks.Approve addition /deletion of banks fromtime to time for carrying out Treasurytransactions and delegate the said power tosuch person as may deem fit.",O P Bhatt^,"Independent,Non-Executive","Independent,Non-Executive",Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.
"Risk ManagementCommittee(""RMC"")","Committee is constituted in line with theprovisions of Regulation 21 of SEBl ListingRegulations.Formulate,monitor and review riskmanagement policy and plan,inter aliacovering investment of surplus funds,management of foreign exchange risks,cyber security risks,data privacy risks andintellectual property infringements risks.Approve addition /deletion of banks fromtime to time for carrying out Treasurytransactions and delegate the said power tosuch person as may deem fit.",Aarthi Subramanian^^,"Non-Independent,Non- Executive","Non-Independent,Non- Executive",Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.
"Risk ManagementCommittee(""RMC"")","Committee is constituted in line with theprovisions of Regulation 21 of SEBl ListingRegulations.Formulate,monitor and review riskmanagement policy and plan,inter aliacovering investment of surplus funds,management of foreign exchange risks,cyber security risks,data privacy risks andintellectual property infringements risks.Approve addition /deletion of banks fromtime to time for carrying out Treasurytransactions and delegate the said power tosuch person as may deem fit.",Ramakrishnan V,Chief Financial Officer,Chief Financial Officer,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.
"Risk ManagementCommittee(""RMC"")","Committee is constituted in line with theprovisions of Regulation 21 of SEBl ListingRegulations.Formulate,monitor and review riskmanagement policy and plan,inter aliacovering investment of surplus funds,management of foreign exchange risks,cyber security risks,data privacy risks andintellectual property infringements risks.Approve addition /deletion of banks fromtime to time for carrying out Treasurytransactions and delegate the said power tosuch person as may deem fit.","Appointed as a member and Chairman of thisCommittee w.e.f. April 12,2019.**Appointed as a member of this Committee w.e.f.April 12,2019.Ceased to be a member and Chairman of theCommittee w.e.f. April 12,2019.^^ Ceased to be a member of the Committee w.e.f.April 12, 2019.","Appointed as a member and Chairman of thisCommittee w.e.f. April 12,2019.**Appointed as a member of this Committee w.e.f.April 12,2019.Ceased to be a member and Chairman of theCommittee w.e.f. April 12,2019.^^ Ceased to be a member of the Committee w.e.f.April 12, 2019.","Appointed as a member and Chairman of thisCommittee w.e.f. April 12,2019.**Appointed as a member of this Committee w.e.f.April 12,2019.Ceased to be a member and Chairman of theCommittee w.e.f. April 12,2019.^^ Ceased to be a member of the Committee w.e.f.April 12, 2019.",Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.
OtherCommittees,OtherCommittees,OtherCommittees,OtherCommittees,"Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",,
ExecutiveCommittee,"Detailed review of the following matters whichform part of terms of Executive Commite, werepresented to the Board:Business and strategy review;Long-term financial projections and cashflows;Capital and revenue budgets and capitalexpenditure programmes;Acquisitions,divestments and businessrestructuring proposals;Senior management succession planning;Any other item as may be decided by theBoard.",Name,Category,"Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.,The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.
ExecutiveCommittee,"Detailed review of the following matters whichform part of terms of Executive Commite, werepresented to the Board:Business and strategy review;Long-term financial projections and cashflows;Capital and revenue budgets and capitalexpenditure programmes;Acquisitions,divestments and businessrestructuring proposals;Senior management succession planning;Any other item as may be decided by theBoard.",N Chandrasekaran(Chairman),"Non-Independent,Non-Executive","Non-Independent,Non-Executive",The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.,The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.
ExecutiveCommittee,"Detailed review of the following matters whichform part of terms of Executive Commite, werepresented to the Board:Business and strategy review;Long-term financial projections and cashflows;Capital and revenue budgets and capitalexpenditure programmes;Acquisitions,divestments and businessrestructuring proposals;Senior management succession planning;Any other item as may be decided by theBoard.",Rajesh Gopinathan,"Non-Independent, Executive","Non-Independent, Executive",The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.,The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.
ExecutiveCommittee,"Detailed review of the following matters whichform part of terms of Executive Commite, werepresented to the Board:Business and strategy review;Long-term financial projections and cashflows;Capital and revenue budgets and capitalexpenditure programmes;Acquisitions,divestments and businessrestructuring proposals;Senior management succession planning;Any other item as may be decided by theBoard.",Dr Ron Sommer*,"Independent,Non-Executive","Independent,Non-Executive",The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.,The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.
ExecutiveCommittee,"Detailed review of the following matters whichform part of terms of Executive Commite, werepresented to the Board:Business and strategy review;Long-term financial projections and cashflows;Capital and revenue budgets and capitalexpenditure programmes;Acquisitions,divestments and businessrestructuring proposals;Senior management succession planning;Any other item as may be decided by theBoard.","Ceased to be a member of this Commitee consequentto the completion of his term as Independent Directorw.e.f. June 26,2019","Ceased to be a member of this Commitee consequentto the completion of his term as Independent Directorw.e.f. June 26,2019","Ceased to be a member of this Commitee consequentto the completion of his term as Independent Directorw.e.f. June 26,2019",The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.,The said matters were discussed in variousBoard meetings held during the year underreview in the presence of the ExecutiveCommittee Members with the intent to availexpertise of all Board members.
Thetermsof reference of these commiteesareavailableonthe website(htps://www.tcs.com/ir-corporate-governance),Thetermsof reference of these commiteesareavailableonthe website(htps://www.tcs.com/ir-corporate-governance),Thetermsof reference of these commiteesareavailableonthe website(htps://www.tcs.com/ir-corporate-governance),Thetermsof reference of these commiteesareavailableonthe website(htps://www.tcs.com/ir-corporate-governance),Thetermsof reference of these commiteesareavailableonthe website(htps://www.tcs.com/ir-corporate-governance),Thetermsof reference of these commiteesareavailableonthe website(htps://www.tcs.com/ir-corporate-governance),
